"last_name, first_name","player_id","year","batting_avg","slg_percent","on_base_percent","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","hard_hit_percent","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","hp_to_1b",""
"Cruz Jr., Nelson","443558","2015",".302",".566",".369","92.7","9.3",35.4,"60",14.1,7.7,24.4,47.8,69.6,30.8,56.7,76.3,"4.56",
"Trumbo, Mark","444432","2015",".262",".449",".310","92","13.3",31,"37",9.8,6.1,22.3,43,69.5,36.1,53.6,78.5,"4.61",
"Peralta, David","444482","2015",".312",".522",".371","91.6","6.7",35.4,"29",8,6.1,26.8,43.4,67.3,31.2,55.2,86,"4.4",
"Ethier, Andre","444843","2015",".294",".486",".366","86.3","11",37.5,"19",5.9,6.5,27.9,32.5,68.6,29.9,61.2,89.6,"4.39",
"Escobar, Alcides","444876","2015",".257",".320",".293","84.6","9.6",30.4,"5",0.9,1.6,26.6,16.5,68.1,35.4,66.9,87.4,"4.4",
"Prado, Martin","445988","2015",".288",".394",".338","89","9.1",33.8,"10",2.3,3.9,31.1,33.6,52.1,25.4,75.1,93.6,"4.56",
"Duda, Lucas","446263","2015",".244",".486",".352","91.7","19.8",40.2,"39",11.6,6.8,24.4,42.3,62.8,27.3,59.2,85,"4.75",
"Longoria, Evan","446334","2015",".270",".435",".328","89.6","15.4",33.5,"41",8.5,7.9,23.1,39.7,65,29.4,64.1,82.3,"4.47",
"Guyer, Brandon","446386","2015",".265",".413",".359","87","13.5",31.3,"9",3.3,5.1,22.9,29.1,73.7,32.6,71.4,77.8,"4.29",
"Reynolds, Mark","448602","2015",".230",".398",".315","87.7","13.2",29.3,"22",8.4,6.5,17.1,33.1,69.1,27.2,49.6,76.7,"4.65",
"Davis, Chris","448801","2015",".262",".562",".361","92","17.5",39.7,"64",17.3,8.9,24.3,45.9,70.1,28.7,48.6,71.9,"4.49",
"Aviles, Mike","449107","2015",".231",".317",".282","86.8","10.7",26.4,"2",0.8,4.3,21.3,30.6,61.3,27.7,69.6,91,"4.49",
"Zobrist, Ben","450314","2015",".276",".450",".359","88.6","8.2",29.3,"15",3.6,4.8,23.8,34.9,55.4,21.4,77.8,91.1,"4.38",
"Fowler, Dexter","451594","2015",".250",".411",".346","87.2","12.2",32,"20",4.5,3.4,25.5,30.2,67.1,19,59.3,83,"4.34",
"Flowers, Tyler","452095","2015",".239",".356",".295","90.4","11.8",27.8,"11",4.8,5.2,25.7,39.6,70.4,27.7,47.8,76.8,"4.64",
"Headley, Chase","452104","2015",".259",".369",".324","86.8","11.9",36.7,"23",5.1,4.5,28.5,32.5,64.7,22.7,57.1,86.8,"4.67",
"Drew, Stephen","452220","2015",".201",".381",".271","86.4","16.9",27.9,"10",3.1,5.3,19.1,25.7,60.6,23.2,67.7,90.4,"4.46",
"Smith, Seth","452234","2015",".248",".443",".330","89.9","11.7",32.8,"24",7.9,7.6,23.8,42.4,59.9,23.9,54,82.2,"4.58",
"Lind, Adam","452252","2015",".277",".460",".360","89.5","10.7",31.4,"29",7.2,7.2,21,36,60.8,32.2,66.7,87.4,"4.83",
"Cabrera, Asdrubal","452678","2015",".265",".430",".315","88.3","17.3",32.1,"22",5.4,5.7,24.2,32.3,74,37.4,66.5,80.7,"4.61",
"Ellsbury, Jacoby","453056","2015",".257",".345",".318","86.5","11.5",33.2,"11",3,2.7,27,28.4,68.6,28.1,70.2,87.2,"4.4",
"Tulowitzki, Troy","453064","2015",".280",".440",".337","90","12.7",31.4,"20",5.3,7.4,29,40.4,62.8,28.6,66,82.3,"4.56",
"Fuld, Sam","453539","2015",".197",".293",".276","85.2","3.2",23.1,"3",1.3,1.7,21.4,21.8,52.7,21.4,62.5,92.7,"4.3",
"Blackmon, Charlie","453568","2015",".287",".450",".347","86.8","15",35.4,"19",3.7,6.8,26.2,29,59.6,27.6,70,89.7,"4.32",
"Blanco, Gregor","453923","2015",".291",".413",".368","87.2","10.2",31.4,"6",2.2,5.5,27.7,31.7,69.8,23.2,62,87.4,"4.21",
"Frazier, Todd","453943","2015",".255",".498",".309","89.6","18.8",32.7,"44",9,6.5,21.8,38.8,73.5,34.9,61.4,82.3,"4.57",
"Iannetta, Chris","455104","2015",".188",".335",".293","89.7","16.5",23.4,"13",6.8,6.3,17.7,35.4,67.3,18.5,37.7,76.8,"4.77",
"Young, Chris","455759","2015",".252",".453",".320","85.6","19.4",33.6,"12",4.8,3.2,22.8,26,65.6,25.4,57.6,86,"4.38",
"Markakis, Nick","455976","2015",".296",".376",".370","88.3","6.8",30.6,"4",0.8,3.2,30.9,33.6,60.4,25.6,82.9,91.1,"4.66",
"Pedroia, Dustin","456030","2015",".291",".441",".356","88.1","9",26.3,"10",3,5.1,21.6,25.4,57.3,25.3,73.2,91.6,"4.38",
"Castillo, Welington","456078","2015",".237",".453",".296","89.3","12.5",37.6,"27",10.6,6.3,23.9,36.5,59.4,26.4,52.5,83.5,"4.79",
"Bourn, Michael","456422","2015",".238",".282",".310","85.8","9.2",33.1,"6",1.8,1.2,26.1,18.5,65.4,21.6,50,80.8,"4.15",
"Pearce, Steve","456665","2015",".218",".422",".289","86.9","19.5",30.5,"12",5.3,8.4,19.9,31.9,67.1,25.3,60.3,83.4,"4.5",
"Butler, Billy","456714","2015",".251",".390",".323","89.4","8.5",30.8,"33",7.5,7.7,21.5,40.6,60.4,28.9,63.3,89.7,"5.05",
"Cain, Lorenzo","456715","2015",".307",".477",".361","90.2","9.5",35.4,"25",5.5,5.5,28.9,38.1,67.7,32.6,65.3,88.7,"4.22",
"De Aza, Alejandro","457477","2015",".262",".422",".333","86.8","14.8",36.7,"7",2.9,6.5,24.1,23.3,69.7,30.2,55,86.1,"4.32",
"McCutchen, Andrew","457705","2015",".292",".488",".401","90.6","13.9",41,"41",9.3,9.5,25.6,44.6,68,21.6,57.7,79.6,"4.36",
"Jackson, Austin","457706","2015",".267",".385",".311","89.6","7.3",34.4,"14",3.8,3.3,32,39.8,62.2,24.7,58.5,84.1,"4.45",
"Upton, Justin","457708","2015",".251",".454",".336","89.8","16.2",28.6,"39",10.1,5.7,22.2,39.2,67,22.7,50.2,74.4,"4.55",
"Maybin, Cameron","457727","2015",".267",".370",".327","88.2","2.1",26.8,"11",2.7,2.7,26,35.9,61.1,25.7,59.6,86.9,"4.28",
"Turner, Justin","457759","2015",".294",".491",".370","89.5","14",40.8,"23",7.2,7.5,28.2,37.9,67.3,24.5,73.3,85.2,"4.67",
"Posey III, Buster","457763","2015",".318",".470",".379","89","10.9",33.6,"31",6.1,6.3,29.3,37.5,69.8,27,75.6,91.3,"4.69",
"Espinosa, Danny","457787","2015",".240",".409",".311","86.3","12.7",28.5,"17",6.4,4.5,16.9,28.5,76.3,37,59.5,75.6,"4.35",
"Bruce, Jay","457803","2015",".226",".434",".294","89.7","15.6",34.2,"36",8.1,7.7,21.8,37.6,73.7,31,58.4,84,"4.49",
"Votto, Joey","458015","2015",".314",".541",".459","90.2","11.5",42.7,"45",10.9,7.3,28.2,42.2,61.4,16.7,64.6,79.3,"4.81",
"Coghlan, Chris","458085","2015",".250",".443",".341","88.5","11",32.8,"19",5.5,5.2,25.3,33.3,66.9,21.5,58.8,87.1,"4.44",
"Rasmus, Colby","458675","2015",".238",".475",".314","89.5","21.1",36.2,"27",9.6,7.4,24.1,35.5,69.6,27.5,51,75.6,"4.39",
"Gardner, Brett","458731","2015",".259",".399",".343","88.8","11.1",32,"18",4,6.3,26,34.9,54.7,21.8,59.1,86.2,"4.09",
"Hundley, Nick","460026","2015",".301",".467",".339","89.1","11.2",34.4,"11",3.8,4.8,27.8,35.1,73.4,24.6,53,85,"4.58",
"Braun, Ryan","460075","2015",".285",".498",".356","92.3","7.7",31.7,"42",10.7,5.6,22.8,45.4,68.8,35.8,64,85.7,"4.43",
"Gordon, Alex","460086","2015",".271",".432",".377","88.4","15.7",33.7,"14",5.2,5.2,27,34.1,64.8,21.5,56,83.4,"4.55",
"Gomez, Carlos","460576","2015",".255",".409",".314","88.2","13.6",29,"17",5,5.9,23.7,33.1,78.4,35.4,59.6,78.6,"4.3",
"Moss, Brandon","461235","2015",".226",".407",".304","89.1","19.8",34.9,"38",11.7,8.3,21.3,39.5,71,30.9,50.3,80.5,"4.47",
"Kemp, Matt","461314","2015",".265",".443",".312","89.5","12",34.4,"38",8.3,8.8,24.3,40.5,69.6,34.8,60.9,81,"4.68",
"Venable, Will","461416","2015",".244",".350",".320","87","3.9",26.8,"6",2.3,4.3,24.1,33.5,63.7,28.7,57.4,82.9,"4.3",
"Murphy, David","461815","2015",".283",".421",".318","88.3","7.8",28.6,"10",3.1,6.9,24.5,35.2,61.2,32.7,73.7,90.9,"4.36",
"Plouffe, Trevor","461858","2015",".244",".435",".307","89.8","13.6",33.5,"36",7.9,7,24.4,39.4,64.7,24.5,60.9,84.9,"4.65",
"Andrus, Elvis","462101","2015",".258",".357",".309","87.3","10.1",28,"8",1.5,2.6,25.8,27.1,59.4,25,68.3,89.5,"4.43",
"Cervelli, Francisco","465041","2015",".295",".401",".370","88.2","6.9",33.4,"15",4.1,5.8,27.1,35.6,62.1,19.2,62.9,86.1,"4.53",
"Cabrera, Melky","466320","2015",".273",".394",".314","89.6","9.7",30.9,"13",2.4,2.9,30,36.2,62.3,33.2,77.6,90.7,"4.55",
"Sandoval, Pablo","467055","2015",".245",".366",".292","88.1","9.9",28.7,"19",4.8,4,20.8,33.5,74.5,47.2,76.1,84.6,"4.66",
"Ramos, Wilson","467092","2015",".229",".358",".258","90.5","4.5",30.1,"24",6.3,7.3,22,44.5,72.6,33.8,57.6,83.8,"5",
"Santana, Carlos","467793","2015",".231",".395",".357","89.2","12.5",28.2,"31",7.2,4.6,22.2,39.7,57.3,19.2,66.9,85.3,"4.7",
"Parra, Gerardo","467827","2015",".291",".452",".328","88.2","9.3",32.8,"15",3.2,5.4,25.2,30,74,38,69.5,86.6,"4.41",
"Montero, Miguel","471083","2015",".248",".409",".345","88.3","12.2",39.3,"21",8.5,6.1,26.7,35.2,73.1,27.6,56.4,73.9,"4.82",
"Gonzalez, Carlos","471865","2015",".271",".540",".325","90.3","9.1",30.6,"45",10.5,4.4,20.1,38.6,77.8,36.7,53.8,78.3,"4.45",
"Valbuena, Luis","472528","2015",".224",".438",".310","89.5","17.4",38.4,"29",8.8,7.9,22.7,39.3,70.6,26.1,57.5,80.3,"4.6",
"Mercer, Jordy","474568","2015",".244",".320",".293","87.2","8.3",32.6,"7",2.1,4,29,29.3,58.1,29.6,68.6,89.3,"4.39",
"Belt, Brandon","474832","2015",".280",".478",".356","89.8","16.3",46.4,"35",10,10,29.5,41.8,81.3,25.5,56.2,77.8,"4.39",
"Carter, Chris","474892","2015",".199",".427",".307","91.2","21",32.7,"38",15.5,10.2,14.3,46.9,70.9,24.4,44.4,70,"4.74",
"Alonso, Yonder","475174","2015",".282",".381",".361","87.8","7.4",32.7,"10",3.2,4.5,27.2,33.7,68.2,25.9,69.6,90.2,"4.86",
"Flaherty, Ryan","475247","2015",".202",".356",".281","89.4","10.3",26.3,"12",6.3,6.8,15.3,32.1,64.1,28.2,55.4,83.9,"4.48",
"Smoak, Justin","475253","2015",".226",".470",".299","91","11.4",34.6,"27",12.8,9,22.7,46.4,62.9,26.5,49.2,81.1,"4.94",
"Zimmerman, Ryan","475582","2015",".249",".465",".308","91.8","8",32.1,"27",9.7,7.6,23.8,48.4,56.8,27.5,61.7,87.8,"4.56",
"Alvarez, Pedro","476883","2015",".243",".469",".318","91.9","7.1",28.4,"38",12.3,4.8,23.2,47.1,70,28,48.2,79.7,"4.62",
"Brantley Jr., Michael","488726","2015",".310",".480",".379","89","9.5",36,"19",3.9,4.1,28.8,36.2,63.7,22.1,80,95.2,"4.64",
"Castro, Jason","488771","2015",".211",".365",".283","88.5","15.8",35.6,"13",5.8,6.7,26.2,30.7,68.6,26.7,49.5,73.7,"4.57",
"Escobar, Yunel","488862","2015",".314",".415",".375","89.7","4.3",29.9,"14",3,4.1,28.8,36.3,73,26.5,60.7,88.9,"4.65",
"Morrison, Logan","489149","2015",".225",".383",".302","89.9","11.7",29,"26",6.9,6.3,19.8,37.7,69.5,28.8,68.4,87.2,"4.6",
"Aoki, Norichika","493114","2015",".287",".380",".353","85.4","1.8",24.8,"3",0.9,2.1,21.8,19.6,63.5,26.6,81.6,94.2,"4.1",
"Cespedes, Yoenis","493316","2015",".291",".542",".328","92.2","12.2",32.4,"55",11.1,7.6,24.9,44.8,62.5,36.5,66,82.9,"4.33",
"Ramirez, Alexei","493351","2015",".249",".357",".285","84.7","8.6",32.2,"5",1,2.1,24.5,22.2,66.3,31.5,75.1,88.2,"4.54",
"Colabello, Chris","499624","2015",".321",".520",".367","90","9.7",34.7,"22",9.2,5,29.3,43.9,69.8,31.4,58.2,73.8,"4.71",
"Solarte, Yangervis","500208","2015",".270",".428",".320","88.1","11.5",29.1,"10",2.1,4.4,25.9,31.4,67.9,30.8,72.8,92.9,"4.79",
"Escobar, Eduardo","500871","2015",".262",".445",".309","86.5","14",34.2,"20",6.1,4.5,22.1,23.9,65.7,30.8,64.6,84.2,"4.3",
"Lagares, Juan","501571","2015",".259",".358",".289","90.7","8.2",25.1,"6",1.7,6.1,26.5,40.2,66.1,35.2,62.7,85.5,"4.32",
"Freese, David","501896","2015",".257",".420",".323","89","6.4",29.7,"23",7.2,6.9,22.8,38.4,62.7,28.9,58.9,85.1,"4.5",
"Davis, Khris","501981","2015",".247",".505",".323","89.8","12.5",31.9,"40",14.7,4.8,18.7,42.9,70,25.7,46,74,"4.59",
"Chisenhall, Lonnie","502082","2015",".246",".372",".294","85.7","16.5",31.2,"9",3.3,5.2,26,30.5,67.6,39,67.2,87.7,"4.39",
"Martinez, J.D.","502110","2015",".282",".535",".344","91.3","16.2",39.9,"73",17.3,7.8,22.3,48.5,74.2,33.3,51.9,77.8,"4.39",
"Valencia, Danny","502143","2015",".290",".519",".345","91.9","6",33.6,"27",10.1,6.3,23.5,46.6,63.6,30.7,50.9,85.4,"4.53",
"Reddick, Josh","502210","2015",".272",".449",".333","88.4","14.8",32.1,"23",5,3.7,26.5,32.8,64.8,26.8,69.6,91.2,"4.29",
"Murphy, Daniel","502517","2015",".281",".449",".322","89.9","11.9",32.3,"22",4.7,6.2,25.3,37.9,70.1,31.5,82.6,95.9,"4.58",
"Goldschmidt, Paul","502671","2015",".321",".570",".435","92","12.9",39.2,"53",12.5,8.7,23.2,46.3,59.2,20.3,63.9,79.2,"4.5",
