"last_name, first_name","player_id","year","pa","home_run","walk","batting_avg","slg_percent","on_base_percent","xba","xslg","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent","hp_to_1b",""
"Swanson, Dansby","621020","2018","533","14","44",".238",".395",".304",".231",".363",".298","88","14.1",32.1,4.1,5.2,24.4,3.8,34,69.9,31.1,56.2,82.7,25.4,"4.08",
"Taylor, Chris","621035","2018","604","17","55",".254",".444",".331",".239",".406",".321","88.9","16.4",39.5,8.3,7.5,27.6,2.2,38.5,69.8,23.7,47.8,74.5,31.4,"4.23",
"Wendle, Joey","621563","2018","545","7","37",".300",".435",".354",".260",".367",".323","88.8","10.7",31.8,2.7,5.2,29.8,2,35.7,61.2,34.1,64.4,88.3,20.5,"4.16",
"Olson, Matt","621566","2018","660","29","70",".247",".453",".335",".250",".494",".338","93.3","18.1",35.1,12.2,9.1,22.9,1.7,52.2,69.1,21,60,75.7,27.5,"4.53",
"Duffy, Matt","622110","2018","560","4","47",".294",".366",".361",".269",".351",".339","86.8","4.8",33.7,1.2,4.1,30.8,4.4,28.1,67.8,25,60.8,89.9,17.3,"4.42",
"Margot, Manuel","622534","2018","519","8","32",".245",".384",".292",".251",".367",".301","89.4","11.5",34,3.3,8.3,21.2,3.3,37,65.5,24.9,60,83.9,21,"4.19",
"Camargo, Johan","622666","2018","524","19","51",".272",".457",".349",".237",".373",".321","88","12.6",31.2,5,6.4,27,1.9,33.7,70,32.3,62.4,79.3,26.6,"4.45",
"Conforto, Michael","624424","2018","638","28","84",".243",".448",".350",".241",".426",".350","88","12.5",36.3,9.5,6.7,22.9,4.4,37.4,64.4,24.2,54,79.8,27.7,"4.35",
"Anderson, Tim","641313","2018","606","20","30",".240",".406",".281",".221",".357",".264","85.8","10.8",33.3,4.7,5.4,24.1,4,27.9,73,36.2,53.1,82.1,27.7,"4.2",
"Bellinger, Cody","641355","2018","632","25","69",".260",".470",".343",".237",".432",".326","89.8","16.2",32,8.6,6.8,20.8,2.4,38.9,66.1,24.4,62.1,73.9,29.7,"4.02",
"Mancini III, Trey","641820","2018","636","24","44",".242",".416",".299",".251",".434",".311","89.9","5.4",27.6,11.8,4.8,22.8,2.8,42.9,68.1,31.5,58.3,78.9,27.7,"4.51",
"Rosario, Amed","642708","2018","592","9","29",".256",".381",".295",".255",".367",".295","87.8","7.9",32.4,3.9,4.1,26.8,2,32.3,69.8,37.9,58.7,80.7,25.8,"4.14",
"Benintendi, Andrew","643217","2018","661","16","71",".290",".465",".366",".282",".449",".360","88.6","12.8",37.3,6.4,4.1,29.7,1.7,33.7,70,24.3,71.3,83.9,19.2,"4.23",
"Albies, Ozzie","645277","2018","684","24","36",".261",".452",".305",".246",".398",".291","86.8","16.1",34,4.7,6.6,24.1,3.4,29.4,82.9,32.6,62.7,82.8,22,"4.07",
"Chapman, Matt","656305","2018","616","24","58",".278",".508",".356",".257",".432",".338","93.1","14.9",30.5,8.9,7.2,25.3,0.5,47.8,61.8,21.1,59.6,82.2,23.6,"4.36",
"Hoskins, Rhys","656555","2018","660","34","87",".246",".496",".354",".231",".454",".344","89","22.6",35.8,11.4,9.2,19.9,2.7,39.5,60,19.7,60.2,84.1,21.9,"4.56",
"Schwarber, Kyle","656941","2018","510","26","78",".238",".467",".356",".245",".472",".362","90.9","12.3",34,12.7,4.8,22,4.8,45,64.8,21.9,50.8,76.7,30,"4.29",
"Moncada, Yoan","660162","2018","650","17","67",".235",".400",".315",".211",".382",".294","91","15.4",36.4,9.6,8.2,22.5,0.5,44.2,62.7,20.4,43.8,76.7,31,"4.2",
"Pujols, Albert","405395","2019","545","23","43",".244",".430",".305",".251",".428",".314","88.3","12.5",26.5,5.8,3.7,23.7,3.2,36.6,59.6,30.8,69.9,88.9,18.2,"5.02",
"Cabrera, Miguel","408234","2019","549","12","48",".282",".398",".346",".270",".436",".337","90.3","12.3",38.2,6.4,7.2,30.3,1.3,44.7,67.9,33.9,59.1,85.3,24.4,"4.95",
"Choo, Shin-Soo","425783","2019","660","24","78",".265",".455",".371",".263",".474",".370","91.9","9.2",31.8,8.8,9,27.8,3.8,49,64.8,20.4,43.6,78.2,29.2,"4.35",
"Jones, Adam","430945","2019","528","16","31",".260",".414",".313",".257",".432",".312","86.2","13.5",31.3,6.7,5.4,23.8,5.2,31,72.3,39.3,54.2,84.1,26.7,"4.48",
"Cruz Jr., Nelson","443558","2019","521","41","56",".311",".639",".392",".290",".637",".377","93.7","13.1",38.3,19.9,8.3,20.6,2.1,51.5,69.9,27.3,45.6,78,32.6,"4.73",
"Longoria, Evan","446334","2019","508","20","43",".254",".437",".325",".269",".491",".340","89.7","14",35.8,7.5,8.4,25.1,1.7,40.8,64.6,30.1,65,78.8,25.7,"4.54",
"Fowler, Dexter","451594","2019","574","19","74",".238",".409",".346",".250",".421",".357","85.5","12.9",40.6,7.4,4.6,28,4,28.7,66.8,23.4,56.9,78.5,27,"4.3",
"Cabrera, Asdrubal","452678","2019","514","18","57",".260",".441",".342",".238",".408",".326","89.1","14.4",37.3,5.7,6.3,26.2,2,35.3,66.4,25.1,68,83.2,20.6,"4.68",
"Blackmon, Charlie","453568","2019","634","32","40",".314",".576",".364",".295",".525",".348","88.7","14.6",36.8,8.3,7.9,26.4,3.5,40.3,70.4,30.5,66.9,86,19.5,"4.35",
"Cain, Lorenzo","456715","2019","623","11","50",".260",".372",".325",".287",".414",".352","89.5","6.9",31.1,4.1,5.2,27.6,2.4,42.1,65.3,25.2,58.3,90.1,19.2,"4.26",
"Turner, Justin","457759","2019","549","27","51",".290",".509",".372",".286",".516",".372","90.3","17.8",38.6,7.8,9.3,28.8,2,43,66.6,24.5,72.2,86.8,17.1,"4.56",
"Votto, Joey","458015","2019","608","15","76",".261",".411",".357",".259",".446",".359","88.9","15.2",40.7,6.9,5.7,28.4,2,38.2,65.5,18.5,63,86.2,19.6,"4.79",
"Gardner, Brett","458731","2019","550","28","52",".251",".503",".325",".232",".361",".311","87.7","13.9",28.8,3.9,6,22.8,3.4,32.6,55.5,22.5,59.1,88.3,19.5,"4.06",
"Braun, Ryan","460075","2019","508","22","34",".285",".505",".343",".266",".470",".328","91.5","7.3",33.3,9.5,5.3,22.1,1.4,45.3,72,34.7,56.1,86.8,24.8,"4.47",
"Gordon, Alex","460086","2019","633","13","51",".266",".396",".345",".255",".422",".338","88.7","9.3",33.7,5.4,5.8,23.1,5.2,38.4,71,26.8,58.8,85.2,21.8,"4.6",
"Andrus, Elvis","462101","2019","648","12","34",".275",".393",".313",".271",".401",".315","88.4","7.2",32.5,3.5,4.5,28.4,1.6,34.8,61.2,32.6,62.9,90.2,19.6,"4.4",
"Ramos, Wilson","467092","2019","524","14","44",".288",".416",".351",".262",".398",".328","90","-0.1",25.8,4.7,3.7,27,2.7,42.5,74.9,34.1,65.6,86.2,20.5,"4.96",
"Santana, Carlos","467793","2019","686","34","108",".281",".515",".397",".266",".480",".384","91.8","11.7",29.1,9.6,5.8,23.1,0.9,44.9,63.7,17.9,64,84.5,20.3,"4.56",
"Belt, Brandon","474832","2019","616","17","83",".234",".403",".339",".242",".457",".349","87.3","22.4",41.4,8.7,9.7,22.3,4.7,35.7,75.3,22.7,57.3,83.9,22.8,"4.68",
"Brantley Jr., Michael","488726","2019","637","22","51",".311",".503",".372",".293",".473",".360","88.8","10.6",36.3,5.5,6.8,27.1,3.9,37.3,61,26,76.1,94.3,10.7,"4.47",
"Gurriel, Yuli","493329","2019","612","31","37",".298",".541",".343",".280",".415",".329","89.3","14.3",33.5,3.6,4.2,28.9,1.8,38.1,66.7,34.4,75.3,90.5,14.8,"4.32",
"Rojas, Miguel","500743","2019","526","5","32",".284",".379",".331",".271",".370",".322","87.4","9.1",31.9,2.6,2.3,28.3,2.3,28.8,64.4,29.8,69.3,89.6,16.5,"4.53",
"Escobar, Eduardo","500871","2019","699","35","50",".269",".511",".320",".254",".464",".310","87.8","18.4",38.6,7,7.9,23.4,2.3,31.4,71.4,37.8,64.7,82,24.8,"4.24",
"Davis, Khris","501981","2019","533","23","47",".220",".387",".293",".232",".435",".306","90.2","13.1",31.5,9.8,8,21.7,1.8,40.4,79.8,27.3,42.8,73.3,34.9,"4.84",
"Pham, Tommy","502054","2019","654","21","81",".273",".450",".369",".270",".455",".366","90.9","5.2",29.7,7.9,4.9,24,3.6,45,61.6,16.4,53.2,87.3,20.2,"4.38",
"Martinez, J.D.","502110","2019","657","36","72",".304",".557",".383",".301",".567",".384","91.3","12.5",40.7,11.8,7.5,29.2,2.3,47.9,72.6,29.8,51.8,83.5,26.7,"4.49",
"Reddick, Josh","502210","2019","550","14","36",".275",".409",".319",".275",".398",".324","86.1","15.8",36,3.4,4,27.9,2.9,29.4,74.2,30,71.1,90.4,14.6,"4.31",
"Goldschmidt, Paul","502671","2019","682","34","78",".260",".476",".346",".257",".509",".345","90.1","15.4",36.4,11.3,9,24.2,3.5,42.4,66.6,28.4,65,77.7,26.3,"4.5",
"Altuve, Jose","514888","2019","548","31","41",".298",".550",".353",".268",".484",".328","87.4","9.7",28.2,8.1,4,20.6,6.4,34.5,67.8,30.7,67.2,83.3,20.4,"4.07",
"Hernandez, Cesar","514917","2019","667","14","45",".279",".408",".333",".264",".375",".320","86","9.5",32,2.7,2.7,26,1.6,28.3,64.5,27.7,66.9,88.5,17.1,"4.15",
"Segura, Jean","516416","2019","618","12","30",".280",".420",".323",".270",".401",".314","88.2","7.2",31,3.2,5.9,22.9,3.2,32.7,60.9,35.7,74.3,91.4,14.5,"4.2",
"Castro, Starlin","516770","2019","676","22","28",".270",".436",".300",".268",".435",".301","88.5","11",29.6,6.2,4.1,27.3,3.9,37.7,67.5,31.3,66.2,87.8,19.1,"4.38",
"Marte, Starling","516782","2019","586","23","25",".295",".503",".342",".297",".507",".346","88.6","8.2",31.3,8,5.5,23.5,5.1,38.6,76.9,33.5,58.8,81.9,24.9,"4.15",
"Donaldson, Josh","518626","2019","659","37","100",".259",".521",".379",".262",".530",".383","92.9","13.3",33.3,15.7,5.1,24,1.5,50.5,69.1,23.1,60.1,73.9,29.9,"4.51",
"Freeman, Freddie","518692","2019","692","38","87",".295",".549",".389",".294",".569",".389","89.7","14.4",40,12.3,7,25.6,2.3,42.5,80.6,29.3,65.4,80,24.2,"4.45",
"Grandal, Yasmani","518735","2019","632","28","109",".246",".468",".380",".241",".475",".379","90.7","14.2",37.5,11.3,8.7,20.8,2.4,41.8,58.7,21.6,55,82.7,25.5,"4.89",
"Heyward, Jason","518792","2019","589","21","68",".251",".429",".343",".255",".396",".347","88.8","11.3",31.8,5.7,5.9,25.4,2.7,36.5,66.3,27.7,65,83.5,22.7,"4.33",
"LeMahieu, DJ","518934","2019","655","26","46",".327",".518",".375",".314",".522",".364","91.9","6.5",35.2,7.5,6.8,28.2,1.5,48.5,64.4,27,71.6,89.4,16,"4.58",
"Moustakas, Mike","519058","2019","584","35","53",".254",".516",".329",".260",".503",".334","89.5","17.4",32.3,10.3,6.1,21.1,4.9,40.8,72,31.6,61.3,82.1,24.9,"4.56",
"Rizzo, Anthony","519203","2019","613","27","71",".293",".520",".405",".297",".487",".411","89","12.6",36.8,6.8,5.6,30.5,3,37,63.6,32.1,70.8,86.1,19.7,"4.58",
"Galvis, Freddy","520471","2019","589","23","28",".260",".438",".296",".235",".384",".273","88.8","14.7",31.8,5.5,5.1,27,2.2,36.4,72.5,38.1,58.4,77.8,28.4,"4.45",
"Garcia, Avisail","541645","2019","530","20","31",".282",".464",".332",".271",".492",".323","89.5","9.8",34.1,11.7,6.8,20.7,5.2,40.3,81.3,36,47.3,79.2,32,"4.38",
"Ozuna, Marcell","542303","2019","549","29","62",".241",".472",".328",".284",".532",".367","91.8","13.5",32.8,12.1,6.7,25.5,2.2,49.2,68.1,27.6,52.1,83.3,27.6,"4.43",
"Villar, Jonathan","542340","2019","714","24","61",".274",".453",".339",".246",".412",".315","88.9","8.2",30.3,6.8,5.7,24.8,4,37.1,74.2,28.2,56.5,77.8,27.3,"4.24",
"Santana, Danny","542454","2019","511","28","25",".283",".534",".324",".277",".504",".320","91.4","13.5",37.8,9.5,7.3,28.7,1.2,43.6,74.3,38.4,52.5,75.7,32,"4.28",
"Crawford, Brandon","543063","2019","560","11","53",".228",".350",".304",".238",".395",".314","87.8","8.3",36.7,5.4,6.5,25.1,2.1,35.1,77.1,28.4,55,78.5,28.3,"4.44",
"Hosmer, Eric","543333","2019","667","22","40",".265",".425",".310",".249",".411",".297","90.8","2.1",29.1,7.2,4.8,25.2,3,46,71.8,32.9,51.8,82.2,28.9,"4.54",
"Kipnis, Jason","543401","2019","511","17","40",".245",".410",".304",".256",".419",".318","88.1","14.1",33.1,5.5,5.8,23.6,3.9,34.4,65.8,26.7,57.2,87.9,20.3,"4.37",
"Rendon, Anthony","543685","2019","646","34","80",".319",".598",".412",".310",".590",".407","90.4","19.5",38.7,12,6.6,27.4,1.9,46.6,68.3,20.6,72.9,91.9,12.9,"4.4",
"Semien, Marcus","543760","2019","747","33","87",".285",".522",".369",".272",".495",".359","88.9","14.9",34,8.5,5.2,23,3.1,38.1,66.5,19.2,61.1,87.6,18.3,"4.36",
"Springer III, George","543807","2019","556","39","67",".292",".591",".383",".283",".578",".379","89.8","10.5",31.6,14.1,5.9,21.1,5.4,44.8,69.1,20.8,52.9,79.9,26.5,"4.27",
"Vazquez, Christian","543877","2019","521","23","33",".276",".477",".320",".250",".441",".300","89.4","13.3",37.5,5.9,8.8,21.2,2.6,40.1,68.2,32.5,67.7,85.1,20.5,"4.52",
"Wong, Kolten","543939","2019","549","11","47",".285",".423",".361",".242",".349",".326","86.1","12.6",28.6,2.2,4.2,25.4,5.4,25.4,67.7,29.9,65.1,87.5,18.2,"4.2",
"Garcia, Leury","544725","2019","618","8","21",".279",".378",".310",".242",".351",".275","88.2","6.2",30.3,3.8,3.1,25.2,3.5,29.9,72.7,36.1,58.7,82.5,24.4,"4.05",
"Grichuk, Randal","545341","2019","628","31","35",".232",".457",".280",".236",".428",".285","89.3","16",31.3,8.5,7.3,20.7,1.2,39.8,69.4,33.4,51,83.3,28.1,"4.37",
"Trout, Mike","545361","2019","600","45","110",".291",".645",".438",".310",".678",".456","90.9","22.2",43.8,18.9,7.1,23.2,3.4,44.4,57.8,17.9,63.9,86.7,19.2,"4.29",
"Harper, Bryce","547180","2019","682","35","99",".260",".510",".372",".273",".547",".384","91.9","13.7",37.6,14.8,7.5,25.3,3.3,45.6,74.2,30.4,47.8,75.4,33.7,"4.28",
"Abreu, Jose","547989","2019","693","33","36",".284",".503",".330",".279",".517",".332","92.1","10.9",35.2,12.8,6.1,25.2,1.6,48.2,66.6,34.7,56.9,85.3,25.3,"4.48",
"Suarez, Eugenio","553993","2019","662","49","70",".271",".572",".358",".247",".500",".341","89.3","17.7",38,13.8,6.1,21.9,3.1,40.8,67.1,24.1,47.2,80.5,28.7,"4.72",
"Santana, Domingo","570267","2019","507","21","50",".253",".441",".329",".250",".478",".329","89","11.3",40.1,12.1,5.9,29.1,4.5,42.1,69.3,24.9,46.5,75.8,31.9,"4.55",
"Sanchez, Yolmer","570560","2019","555","2","44",".252",".321",".318",".230",".315",".299","87.1","14.2",32.1,1,5.4,28.3,1.8,27,67.2,31.5,63.3,82.3,22.6,"4.27",
"Arenado, Nolan","571448","2019","662","41","62",".315",".583",".379",".270",".480",".341","89.4","17.7",34.6,8,6.8,23.5,1,37.6,73.1,34.8,64.8,88,20.9,"4.55",
"Muncy, Max","571970","2019","589","35","90",".251",".515",".374",".261",".510",".384","89.8","14.5",38.9,12,7.9,25.4,3.2,43.4,62.9,19.7,53.6,76.7,28.9,"4.27",
"Voit III, Luke","572228","2019","510","21","71",".263",".464",".378",".246",".495",".364","89.7","12.7",38.5,13.2,7.3,21.5,3.8,41.5,77,22.5,37.1,74.4,35.1,"4.7",
"Walker, Christian","572233","2019","603","29","67",".259",".476",".348",".262",".516",".351","91.1","14.8",34.1,13.1,6.9,23.5,2.7,48.8,74.9,24,51.3,78,28.8,"4.54",
"Iglesias, Jose","578428","2019","530","11","20",".288",".407",".318",".264",".360",".298","84.1","7.1",29.7,2.3,2.3,24.5,5.7,24.2,67.1,45.9,77.2,90,15.3,"4.21",
"Bryant, Kris","592178","2019","634","31","74",".282",".521",".382",".247",".463",".353","87.6","19.2",35.8,9.3,6.8,21.8,2.8,34.1,73.7,27.4,54.6,79.1,28.4,"4.28",
"Castellanos, Nick","592206","2019","664","27","41",".289",".525",".337",".279",".541",".329","89","14",39.8,10.9,9.3,25.1,4,41.7,74.7,38.6,52.7,86,26.9,"4.28",
"Machado, Manny","592518","2019","661","32","65",".256",".462",".334",".261",".463",".340","91.2","13",31.2,8,8,22.7,1.5,43.7,69,28.6,57.3,85.1,24.2,"4.6",
"Moran, Colin","592567","2019","503","13","30",".277",".429",".322",".260",".437",".308","88.2","12.5",37.1,7.4,6.5,27.2,3.1,34.8,75.5,35.8,60.2,83.9,24.7,"4.58",
"Pederson, Joc","592626","2019","514","36","50",".249",".538",".339",".249",".479",".339","91.2","15.6",31.4,10.3,5,20.2,2.6,43.5,68.4,26.6,60,82.1,24.1,"4.36",
"Realmuto, J.T.","592663","2019","593","25","41",".275",".493",".328",".273",".469",".332","90.3","14.4",35,8.7,7.6,24.6,2.4,41.1,70.6,32.6,61.9,83.4,23.8,"4.22",
"Rosario, Eddie","592696","2019","590","32","22",".276",".500",".300",".260",".494",".289","89.2","16.8",33.2,8.5,7.1,20.5,1.7,36,80.9,43.3,70.4,84.1,21.2,"4.27",
"Yelich, Christian","592885","2019","580","44","80",".329",".671",".429",".310",".624",".415","93.3","11.3",33.2,15.8,6.4,23.8,2.4,49.1,69.8,27.9,50.3,83.9,28.2,"4.16",
"Merrifield, Whit","593160","2019","735","16","45",".302",".463",".348",".280",".431",".328","87","15.6",42,4.3,5.7,30.1,2.9,29,68.2,30.9,66.1,85.6,20,"4.23",
"Bogaerts, Xander","593428","2019","698","33","76",".309",".555",".384",".272",".474",".354","90.7","13.4",34.7,8.4,7,23.3,1.6,44.1,56.1,27.4,66.1,86.2,20.9,"4.25",
"Alberto, Hanser","593643","2019","550","12","16",".305",".422",".329",".279",".392",".305","84.4","11.9",32.5,2.9,2.7,27.1,5.8,18.5,74.5,45.3,75.3,90.5,14.4,"4.33",
"Polanco, Jorge","593871","2019","704","22","60",".295",".485",".356",".271",".464",".338","88","19.1",41.6,6.7,8.2,26.5,2.1,33.1,65.9,26.7,68.1,88.7,17.3,"4.12",
"Calhoun, Kole","594777","2019","632","33","70",".232",".467",".325",".241",".471",".335","89.5","14.9",35.2,11.2,8.4,23.5,3.3,42.6,73.6,25.9,43,77.5,32.1,"4.53",
"Eaton, Adam","594809","2019","656","15","65",".279",".428",".365",".256",".406",".346","88.9","15.3",33.9,3.8,6.6,26.3,3.4,34.3,63.8,27.4,65.6,86.2,17.2,"4.13",
"Profar, Jurickson","595777","2019","518","20","48",".218",".410",".301",".250",".431",".332","86.7","14",29.7,6.5,4.9,22.7,3.9,31.3,65.6,26.1,62.7,87.3,20.2,"4.4",
"Baez, Javier","595879","2019","561","29","28",".281",".531",".316",".264",".506",".301","91.1","7.7",36.3,12.7,5,22.3,3.7,43.6,73.5,42.6,50.4,75,35.5,"4.19",
"Lindor, Francisco","596019","2019","654","32","46",".284",".518",".335",".273",".464",".328","91","12.3",29.8,7.5,4.7,23.3,1.8,41,72.3,32.1,68.8,89.5,17,"4.25",
"Odor, Rougned","596059","2019","581","30","52",".205",".439",".283",".221",".464",".299","91.1","17.9",30.6,13.6,6.4,18.2,3.8,45.6,67.6,30,51.1,79,29.1,"4.2",
"Story, Trevor","596115","2019","656","35","58",".294",".554",".363",".260",".464",".334","91","17.5",36.5,8.6,7.2,28.1,2.2,46,70.4,28.5,54.1,82.3,26.4,"4.17",
"Vogelbach, Daniel","596129","2019","558","30","92",".208",".439",".341",".224",".440",".356","88.8","17.1",39,10.5,6.3,21.6,3.8,38,50.9,19.6,60.5,78.8,26.9,"4.81",
"Kepler, Max","596146","2019","596","36","60",".252",".519",".336",".259",".458",".343","89.7","18.2",30.5,8.9,7.5,21.7,1.9,42.1,74,27.6,57.3,89.2,20.1,"4.24",
"Bradley Jr., Jackie","598265","2019","567","21","56",".225",".421",".317",".225",".413",".319","90.1","9.3",30.2,9.6,6.1,21.2,2,44.2,69.2,28.3,50.8,73.7,32.6,"4.32",
"Nunez, Renato","600524","2019","599","31","44",".244",".460",".311",".252",".471",".319","89.9","19.9",32.1,10.7,5.5,24.4,2.7,40.9,68.2,34.4,56.1,82.9,27.4,"4.54",
"Ahmed, Nick","605113","2019","625","19","52",".254",".437",".316",".256",".422",".322","87.8","7.6",35.7,6.6,5.5,23.5,3.5,34,72.4,27.9,60.4,85.6,21.3,"4.35",
"Anderson, Brian","605119","2019","520","20","44",".261",".468",".342",".253",".454",".337","89.9","11.1",31.3,8.9,7.2,25,2.9,46,65.2,31.9,52.5,83.7,27.4,"4.4",
"Bell, Josh","605137","2019","613","37","74",".277",".569",".367",".285",".561",".376","92.4","13.1",34.6,12.7,7.7,20.4,1.7,47.2,77.2,27.5,63,80.2,25.3,"4.42",
"Betts, Mookie","605141","2019","706","29","97",".295",".524",".391",".311",".577",".408","91","19.3",39.2,10.3,8.5,26.5,2,47.5,59.8,18.8,65.7,92,14.5,"4.26",
"Smith, Mallex","605480","2019","566","6","42",".227",".335",".300",".202",".285",".279","85.2","7.3",29,2.2,3.5,20.7,1.9,20.1,70.1,27,54,75.5,27.8,"4.03",
"Arcia, Orlando","606115","2019","546","15","43",".223",".350",".283",".222",".351",".287","87.9","6.6",26.5,4.3,4.6,21.1,3.8,31.3,65.4,30.5,61.8,81.4,24.6,"4.46",
"Marte, Ketel","606466","2019","628","32","53",".329",".592",".389",".300",".525",".364","90","11.5",34.6,9.3,5.8,25.4,2.3,40,70.8,28.6,68.5,88.3,17.6,"4.27",
"Turner, Trea","607208","2019","569","19","43",".298",".497",".353",".279",".455",".337","90.4","9.9",29.8,6.8,6.3,26.1,1.5,42,67.4,29.2,54.6,87.2,23.4,"4.05",
"Pillar, Kevin","607680","2019","645","21","18",".259",".432",".287",".262",".411",".293","86.4","14.1",33.1,4.9,5.7,22.7,5.3,30.8,73.6,46.9,71,90.3,17.7,"4.28",
"Ramirez, Jose","608070","2019","542","23","52",".255",".479",".327",".267",".461",".341","89.2","19.8",32.6,6.3,7,25.1,2.2,35.7,64.4,23,71.4,90.9,14.5,"4.28",
"Bregman, Alex","608324","2019","690","41","119",".296",".592",".423",".263",".453",".402","89.3","19.6",35.5,4.8,9.8,23.6,1,38,57.4,15.8,71.8,90,14.3,"4.34",
"Seager, Corey","608369","2019","541","19","44",".272",".483",".335",".257",".459",".322","88.8","14.3",35.2,7.3,7.1,22,1.3,38.2,77.7,26.9,51.7,82.8,25.7,"4.5",
"Reyes, Franmil","614177","2019","548","37","47",".249",".512",".310",".259",".535",".323","93.3","9.5",33.3,14.8,9,23.2,2,51,76.7,30.2,42.8,73.1,36.5,"4.58",
"Swanson, Dansby","621020","2019","545","17","51",".251",".422",".325",".271",".477",".346","89.9","14.5",36.7,10.1,6,27.1,1.9,41.6,68.7,24.7,54.6,79.3,27.6,"4.21",
"Newman, Kevin","621028","2019","531","12","28",".308",".446",".353",".273",".374",".322","85.3","8.5",33.4,2.1,2.8,28.3,3.5,24.8,70,33.8,73.9,91.9,13.8,"4.26",
"Olson, Matt","621566","2019","547","36","51",".267",".545",".351",".278",".578",".362","92.7","19.4",36.1,14.5,9,23.4,3.8,50.4,67,24.9,66.7,73,28.1,"4.55",
"Alonso, Pete","624413","2019","693","53","72",".260",".583",".358",".257",".551",".358","90.7","14.8",36.9,15.8,6.7,18.9,3.6,42.7,67.4,31.9,58.3,80.9,28,"4.51",
"Conforto, Michael","624424","2019","648","33","84",".257",".494",".363",".262",".507",".370","89.2","15.9",35.8,11.9,5.2,26.2,3.7,39.2,70.8,25.1,59.4,78.7,27,"4.34",
"Frazier, Adam","624428","2019","608","10","40",".278",".417",".336",".275",".403",".334","87.1","13.1",36.4,1.9,6.4,28.9,1.9,28.3,69.6,27.1,72.3,88.8,15.6,"4.31",
"Puig, Yasiel","624577","2019","611","24","44",".267",".458",".327",".256",".451",".319","90","13.8",30,9.2,5.4,21.8,2.1,39.1,77.1,30.1,53.6,79.4,28.2,"4.31",
"Soler, Jorge","624585","2019","679","48","73",".265",".569",".354",".276",".596",".364","92.6","15.5",34.5,16.9,8.2,21.9,2.7,50.1,68,24.2,39.8,79.2,32.5,"4.52",
"Meadows, Austin","640457","2019","591","33","54",".291",".558",".364",".282",".545",".356","90.4","16.7",38.1,12.5,6.8,27.1,2.8,42.9,61,24.7,57.7,84.7,23.5,"4.24",
"Anderson, Tim","641313","2019","518","18","15",".335",".508",".357",".283",".450",".307","88.3","8.7",37.6,5.1,5.9,30.2,3.3,37.6,75.4,43.6,56.9,87.5,24.5,"4.18",
"Bellinger, Cody","641355","2019","661","47","95",".305",".629",".406",".319",".635",".421","91.1","17.9",39.6,12.7,6.8,27.3,2,45.9,68.8,23.8,67,79.7,23.5,"3.97",
"Dozier, Hunter","641531","2019","586","26","55",".279",".522",".348",".260",".468",".331","91.1","16.7",35.8,10,7.4,24.2,2.6,42.9,64.7,26.8,43.3,86.8,27,"4.36",
"Mancini III, Trey","641820","2019","679","35","63",".291",".535",".364",".277",".503",".353","90.3","7.8",36.4,10.3,7.3,21.8,3,42.7,67.3,32,61.3,79.7,26.9,"4.6",
"McMahon, Ryan","641857","2019","539","24","56",".250",".450",".329",".243",".429",".324","91.9","8.8",36.6,9,7.1,27.3,1.9,48,74.7,26.5,52.4,73.3,32.4,"4.51",
"Rosario, Amed","642708","2019","655","15","31",".287",".432",".323",".283",".416",".320","89.4","8.8",35,4.2,4.6,30.4,1.8,39.5,69.8,36,58.5,85.1,24.1,"4.18",
"Adames, Willy","642715","2019","584","20","46",".254",".418",".317",".250",".437",".313","88.5","10.8",36.1,8.4,7.1,25.4,2.6,35.6,69.2,24.7,47.9,81.4,27.1,"4.27",
"Benintendi, Andrew","643217","2019","615","13","59",".266",".431",".343",".262",".456",".340","89.1","17.3",40.1,8.1,7.6,29.3,3.2,37.8,77.2,29.7,65.1,78.6,25.2,"4.27",
"McNeil, Jeff","643446","2019","567","23","35",".318",".531",".384",".283",".465",".354","89","13.8",34.2,4.8,7.3,29.1,3.4,36.7,84.1,38.1,67.7,85.8,19.9,"4.11",
"Albies, Ozzie","645277","2019","702","24","54",".295",".500",".352",".282",".482",".341","88.9","15.6",36.8,6.6,7,27.8,2.3,34,80.7,34.5,63.2,83.8,22.9,"4.02",
"Robles, Victor","645302","2019","617","17","35",".255",".419",".326",".231",".368",".305","83.3","16.7",34.5,4.8,5.5,21.3,10.1,23,71.1,30.1,54.2,84.4,23,"4.24",
"Devers, Rafael","646240","2019","702","32","48",".311",".555",".361",".298",".528",".351","92.5","10.4",33,9,9.6,24.3,1.3,48.4,75.8,37.3,68.3,79.7,24,"4.28",
"Jimenez, Eloy","650391","2019","504","31","30",".267",".513",".315",".261",".515",".311","91.2","9.3",32.4,12.8,7.1,20.5,2.4,47.9,71.3,33.7,51,77.4,32.8,"4.43",
"Torres, Gleyber","650402","2019","604","38","48",".278",".535",".337",".257",".492",".320","89.1","17.7",38,10.1,5.4,22.4,2.4,36.5,75.7,31.3,54.9,80.1,28,"4.48",
"Chapman, Matt","656305","2019","670","36","73",".249",".506",".342",".251",".502",".345","92.7","16.6",25.1,12.1,7.3,18.7,1.4,49,62.4,22.7,63.6,80.9,23.7,"4.4",
