"last_name, first_name","player_id","year","pa","home_run","walk","batting_avg","slg_percent","on_base_percent","xba","xslg","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent","hp_to_1b",""
"Moss, Brandon","461235","2015","526","19","49",".226",".407",".304",".232",".464",".314","89.1","19.8",34.9,11.7,8.3,21.3,5.2,39.5,71,30.9,50.3,80.5,29.6,"4.47",
"Kemp, Matt","461314","2015","648","23","39",".265",".443",".312",".261",".459",".312","89.5","12",34.4,8.3,8.8,24.3,2.6,40.5,69.6,34.8,60.9,81,26.3,"4.68",
"Plouffe, Trevor","461858","2015","632","22","50",".244",".435",".307",".251",".441",".315","89.8","13.6",33.5,7.9,7,24.4,1.8,39.4,64.7,24.5,60.9,84.9,20.9,"4.65",
"Andrus, Elvis","462101","2015","661","7","46",".258",".357",".309",".249",".336",".306","87.3","10.1",28,1.5,2.6,25.8,2.6,27.1,59.4,25,68.3,89.5,14.8,"4.43",
"Cervelli, Francisco","465041","2015","510","7","46",".295",".401",".370",".257",".394",".337","88.2","6.9",33.4,4.1,5.8,27.1,4.1,35.6,62.1,19.2,62.9,86.1,19,"4.53",
"Cabrera, Melky","466320","2015","683","12","40",".273",".394",".314",".274",".371",".319","89.6","9.7",30.9,2.4,2.9,30,2.4,36.2,62.3,33.2,77.6,90.7,13.3,"4.55",
"Sandoval, Pablo","467055","2015","505","10","25",".245",".366",".292",".227",".352",".276","88.1","9.9",28.7,4.8,4,20.8,3.3,33.5,74.5,47.2,76.1,84.6,19.1,"4.66",
"Ramos, Wilson","467092","2015","504","15","21",".229",".358",".258",".250",".410",".280","90.5","4.5",30.1,6.3,7.3,22,2.9,44.5,72.6,33.8,57.6,83.8,24.3,"5",
"Santana, Carlos","467793","2015","666","19","108",".231",".395",".357",".241",".408",".369","89.2","12.5",28.2,7.2,4.6,22.2,3.7,39.7,57.3,19.2,66.9,85.3,19.3,"4.7",
"Parra, Gerardo","467827","2015","589","14","28",".291",".452",".328",".259",".389",".301","88.2","9.3",32.8,3.2,5.4,25.2,2.6,30,74,38,69.5,86.6,18.3,"4.41",
"Gonzalez, Carlos","471865","2015","608","40","46",".271",".540",".325",".257",".466",".317","90.3","9.1",30.6,10.5,4.4,20.1,3,38.6,77.8,36.7,53.8,78.3,30.5,"4.45",
"Belt, Brandon","474832","2015","556","18","56",".280",".478",".356",".274",".508",".355","89.8","16.3",46.4,10,10,29.5,2.6,41.8,81.3,25.5,56.2,77.8,28.2,"4.39",
"Brantley Jr., Michael","488726","2015","596","15","60",".310",".480",".379",".291",".425",".365","89","9.5",36,3.9,4.1,28.8,2.7,36.2,63.7,22.1,80,95.2,8.7,"4.64",
"Escobar, Yunel","488862","2015","591","9","45",".314",".415",".375",".284",".400",".349","89.7","4.3",29.9,3,4.1,28.8,1.3,36.3,73,26.5,60.7,88.9,17.7,"4.65",
"Morrison, Logan","489149","2015","511","17","47",".225",".383",".302",".257",".436",".334","89.9","11.7",29,6.9,6.3,19.8,3.2,37.7,69.5,28.8,68.4,87.2,18.5,"4.6",
"Cespedes, Yoenis","493316","2015","676","35","33",".291",".542",".328",".294",".546",".336","92.2","12.2",32.4,11.1,7.6,24.9,2.4,44.8,62.5,36.5,66,82.9,23.6,"4.33",
"Ramirez, Alexei","493351","2015","622","10","31",".249",".357",".285",".244",".314",".285","84.7","8.6",32.2,1,2.1,24.5,5.2,22.2,66.3,31.5,75.1,88.2,15.6,"4.54",
"Solarte, Yangervis","500208","2015","571","14","34",".270",".428",".320",".250",".364",".303","88.1","11.5",29.1,2.1,4.4,25.9,2.1,31.4,67.9,30.8,72.8,92.9,13.3,"4.79",
"Martinez, J.D.","502110","2015","657","38","53",".282",".535",".344",".280",".593",".343","91.3","16.2",39.9,17.3,7.8,22.3,3.8,48.5,74.2,33.3,51.9,77.8,30.8,"4.39",
"Reddick, Josh","502210","2015","579","20","49",".272",".449",".333",".266",".417",".329","88.4","14.8",32.1,5,3.7,26.5,2.4,32.8,64.8,26.8,69.6,91.2,16,"4.29",
"Murphy, Daniel","502517","2015","538","14","31",".281",".449",".322",".284",".455",".327","89.9","11.9",32.3,4.7,6.2,25.3,1.9,37.9,70.1,31.5,82.6,95.9,9,"4.58",
